Monitor started. Watching C:\Users\Adminb\OneDrive\Documents\Projects\qgan\QINR-QGAN\QGAN-QIREN-2024-MNIST\v3_log.txt
Alert fires if W range < 0.005 over 30 lines spanning >= 2 epochs.
Epoch 399 | last 30 lines: W in [1.9640, 2.1860]  range=0.2220  distinct_epochs=11
Epoch 399 | last 30 lines: W in [1.9640, 2.1860]  range=0.2220  distinct_epochs=11
Epoch 399 | last 30 lines: W in [1.9640, 2.1860]  range=0.2220  distinct_epochs=11
Epoch 399 | last 30 lines: W in [1.9640, 2.1860]  range=0.2220  distinct_epochs=11
Epoch 399 | last 30 lines: W in [1.9640, 2.1860]  range=0.2220  distinct_epochs=11
Epoch 399 | last 30 lines: W in [1.9640, 2.1860]  range=0.2220  distinct_epochs=11
Epoch 399 | last 30 lines: W in [1.9640, 2.1860]  range=0.2220  distinct_epochs=11
Epoch 399 | last 30 lines: W in [1.9640, 2.1860]  range=0.2220  distinct_epochs=11
Epoch 399 | last 30 lines: W in [1.9640, 2.1860]  range=0.2220  distinct_epochs=11
Epoch 399 | last 30 lines: W in [1.9640, 2.1860]  range=0.2220  distinct_epochs=11
Epoch 399 | last 30 lines: W in [1.9640, 2.1860]  range=0.2220  distinct_epochs=11
Epoch 399 | last 30 lines: W in [1.9640, 2.1860]  range=0.2220  distinct_epochs=11
Epoch 399 | last 30 lines: W in [1.9640, 2.1860]  range=0.2220  distinct_epochs=11
Epoch 399 | last 30 lines: W in [1.9640, 2.1860]  range=0.2220  distinct_epochs=11
Epoch 399 | last 30 lines: W in [1.9640, 2.1860]  range=0.2220  distinct_epochs=11
Epoch 399 | last 30 lines: W in [1.9640, 2.1860]  range=0.2220  distinct_epochs=11
Epoch 399 | last 30 lines: W in [1.9640, 2.1860]  range=0.2220  distinct_epochs=11
Epoch 399 | last 30 lines: W in [1.9640, 2.1860]  range=0.2220  distinct_epochs=11
Epoch 399 | last 30 lines: W in [1.9640, 2.1860]  range=0.2220  distinct_epochs=11
Epoch 399 | last 30 lines: W in [1.9640, 2.1860]  range=0.2220  distinct_epochs=11
Epoch 399 | last 30 lines: W in [1.9640, 2.1860]  range=0.2220  distinct_epochs=11
Epoch 399 | last 30 lines: W in [1.9640, 2.1860]  range=0.2220  distinct_epochs=11
